row_id,source_id,arena,classification,negative_category,visible_structures,court_end,confidence,note
wnba_01_01,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread half-court view."
wnba_01_02,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: player portrait; no usable court markings."
wnba_01_03,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread half-court view."
wnba_01_04,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread half-court view."
wnba_01_05,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread half-court view."
wnba_01_06,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight rim and backboard shot; no court markings."
wnba_01_07,wnba_01,Gateway Center Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region;lane boundary;free-throw semicircle;three-point arc",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: transition view spans midcourt and the left half court."
wnba_01_08,wnba_01,Gateway Center Arena,NEGATIVE,graphics/transition,"baseline;lane boundary;free-throw semicircle;three-point arc",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: split-screen interview and statistics layout shrinks and obscures the court."
wnba_01_09,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",RIGHT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread free-throw view."
wnba_01_10,wnba_01,Gateway Center Arena,NEGATIVE,replay/alternate-camera,"baseline;lane boundary;restricted arc;free-throw semicircle;three-point arc",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: centered behind-basket camera rather than the main sideline view."
wnba_01_11,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player portrait; no court structures."
wnba_01_12,wnba_01,Gateway Center Arena,NEGATIVE,replay/alternate-camera,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight slow-motion action angle; no court structures."
wnba_01_13,wnba_01,Gateway Center Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region;lane boundary;restricted arc;free-throw semicircle;three-point arc",RIGHT_BASKET,HIGH,"gpt-5.6-sol MODEL: wide transition view spans midcourt and the right half court."
wnba_01_14,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",RIGHT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread half-court view."
wnba_01_15,wnba_01,Gateway Center Arena,NEGATIVE,replay/alternate-camera,"three-point arc;restricted-area fragment",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: low courtside action angle lacks three well-spread structures."
wnba_01_16,wnba_01,Gateway Center Arena,NEGATIVE,replay/alternate-camera,"three-point arc;lane-boundary fragment",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: low courtside action angle lacks three well-spread structures."
wnba_01_17,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread half-court view."
wnba_01_18,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player shot; no court structures."
wnba_01_19,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: court structures remain identifiable despite augmented broadcast graphics."
wnba_01_20,wnba_01,Gateway Center Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region;lane boundary;free-throw semicircle;three-point arc",RIGHT_BASKET,HIGH,"gpt-5.6-sol MODEL: transition view spans midcourt and the right half court."
wnba_01_21,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread half-court view."
wnba_01_22,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread half-court view."
wnba_01_23,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"arc fragment",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: player-on-floor close shot; only one isolated line segment."
wnba_01_24,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: bench and timeout close shot; no court structures."
wnba_01_25,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc;center-logo boundary",RIGHT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread half-court view."
wnba_01_26,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight bench and player shot; no court structures."
wnba_01_27,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player shot; no court structures."
wnba_01_28,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: timeout personnel shot; no court structures."
wnba_01_29,wnba_01,Gateway Center Arena,NEGATIVE,replay/alternate-camera,"lane boundary;restricted arc",RIGHT_BASKET,HIGH,"gpt-5.6-sol MODEL: tight elevated baseline angle lacks three well-spread structures."
wnba_01_30,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: timeout huddle and large score graphic; no court structures."
wnba_04_01,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight low baseline view lacks three well-spread structures."
wnba_04_02,wnba_04,Climate Pledge Arena,UNRESOLVABLE,,"sideline;center-circle fragments",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: fewer than three reliably identifiable structures in a moving midcourt crop."
wnba_04_03,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center circle",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three court structures remain identifiable despite motion blur."
wnba_04_04,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center circle",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three court structures remain identifiable despite motion blur."
wnba_04_05,wnba_04,Climate Pledge Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player shot; no usable court structures."
wnba_04_06,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: identifiable midcourt view."
wnba_04_07,wnba_04,Climate Pledge Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player and action crop; no court structures."
wnba_04_08,wnba_04,Climate Pledge Arena,UNRESOLVABLE,,"sideline;center-circle fragments",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: fewer than three reliably identifiable structures in a midcourt crop."
wnba_04_09,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,LOW,"gpt-5.6-sol MODEL: three structures remain identifiable despite decode corruption."
wnba_04_10,wnba_04,Climate Pledge Arena,NEGATIVE,close-up,"arc fragment",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player shot; only one line fragment."
wnba_04_11,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline camera lacks three well-spread structures."
wnba_04_12,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: identifiable midcourt view."
wnba_04_13,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline camera lacks three well-spread structures."
wnba_04_14,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline camera lacks three well-spread structures."
wnba_04_15,wnba_04,Climate Pledge Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player-on-floor shot; no court structures."
wnba_04_16,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three structures remain identifiable despite motion blur."
wnba_04_17,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three structures remain identifiable despite motion blur."
wnba_04_18,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline;arc fragment",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera rather than main sideline framing."
wnba_04_19,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera rather than main sideline framing."
