row_id,source_id,arena,classification,negative_category,visible_structures,court_end,confidence,note
wnba_01_e01,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread left half-court view."
wnba_01_e02,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc;midcourt line;center-circle region",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable view spans midcourt and the left half court."
wnba_01_e03,wnba_01,Gateway Center Arena,NEGATIVE,graphics/transition,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: full-screen statistics graphic; no court structures."
wnba_01_e04,wnba_01,Gateway Center Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: centered behind-basket fisheye rather than the main sideline view."
wnba_01_e05,wnba_01,Gateway Center Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region;lane boundary;free-throw semicircle;three-point arc",RIGHT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable view spans midcourt and the right half court."
wnba_01_e06,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",RIGHT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread right half-court view."
wnba_01_e07,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",RIGHT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread right half-court view."
wnba_01_e08,wnba_01,Gateway Center Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region;lane boundary;free-throw semicircle;three-point arc",LEFT_BASKET,MEDIUM,"gpt-5.6-sol MODEL: well-spread structures remain identifiable despite motion blur."
wnba_01_e09,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread left half-court view."
wnba_01_e10,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread left half-court view."
wnba_01_e11,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc;center-logo boundary",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread left half-court view."
wnba_01_e12,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc;midcourt line;center-circle region",LEFT_BASKET,MEDIUM,"gpt-5.6-sol MODEL: well-spread structures remain identifiable despite motion blur."
wnba_01_e13,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player shot; no usable court markings."
wnba_01_e14,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",RIGHT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread right half-court view."
wnba_01_e15,wnba_01,Gateway Center Arena,NEGATIVE,graphics/transition,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: broadcast transition logo over tight players; no well-spread structures."
wnba_01_e16,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc;center-logo boundary",LEFT_BASKET,MEDIUM,"gpt-5.6-sol MODEL: well-spread structures remain identifiable despite motion blur."
wnba_01_e17,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread left half-court view."
wnba_01_e18,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc;center-logo boundary",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread left half-court view."
wnba_01_e19,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player portrait; no court structures."
wnba_01_e20,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player shot; no reliable court structures."
wnba_01_e21,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"line fragments",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player shot with isolated line fragments only."
wnba_01_e22,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: bench close-up; no court structures."
wnba_01_e23,wnba_01,Gateway Center Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline;lane boundary;free-throw semicircle;three-point arc",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: centered behind-basket fisheye rather than the main sideline view."
wnba_01_e24,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: timeout huddle; no court structures."
wnba_01_e25,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player shot; no court structures."
wnba_01_e26,wnba_01,Gateway Center Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline;lane boundary;free-throw semicircle;three-point arc",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: centered behind-basket fisheye rather than the main sideline view."
wnba_01_e27,wnba_01,Gateway Center Arena,ELIGIBLE,,"baseline;sideline;lane boundary;restricted arc;free-throw semicircle;three-point arc",LEFT_BASKET,HIGH,"gpt-5.6-sol MODEL: identifiable well-spread left half-court view."
wnba_01_e28,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player portrait; no usable court structures."
