context_id,claude_visibility,note
G388_001,YES,wide game shot; lane line free-throw line and baseline paint legible
G388_002,NO,coach close-up; no court surface in frame
G388_003,UNKNOWN,player close-up; court surface present but defocused, no legible straight marking
G388_004,YES,wide shot; baseline lane lines and sideline paint legible
G388_005,YES,wide shot; division line and sideline paint legible
G388_006,YES,wide shot; lane lines free-throw line and baseline paint legible
G388_007,YES,wide shot; lane lines and baseline paint legible
G388_008,NO,huddle close-up; no court surface in frame
G388_009,YES,wide shot; lane lines free-throw line and sideline paint legible
G388_010,YES,mid shot; baseline and sideline paint legible at floor level
G388_011,YES,wide shot; lane lines free-throw line and sideline paint legible
G388_012,NO,bench close-up; no painted floor marking in frame
G388_013,YES,wide shot; lane lines free-throw line and sideline paint legible
G388_014,YES,wide shot; lane lines free-throw line and sideline paint legible
G388_015,NO,official close-up against signage; no court surface in frame
G388_016,NO,player close-up; dark floor calibration-only only, no painted marking
G388_017,YES,wide shot; lane lines free-throw line and baseline paint legible
G388_018,YES,wide shot; lane lines free-throw line and sideline paint legible
G388_019,YES,wide shot; lane lines and baseline paint legible
G388_020,YES,wide shot; division line and sideline paint legible
G388_021,YES,wide shot; lane lines free-throw line and baseline paint legible
G388_022,YES,wide shot; lane lines free-throw line and baseline paint legible
G388_023,YES,wide shot; division line and sideline paint legible
G388_024,YES,wide shot; lane lines free-throw line and sideline paint legible
G388_025,YES,wide shot; lane lines free-throw line and sideline paint legible
G388_026,YES,wide shot; lane lines and sideline paint legible
G388_027,YES,wide shot; lane lines free-throw line and sideline paint legible
G388_028,YES,wide shot; lane lines free-throw line and baseline paint legible
G388_029,NO,bench close-up; no court surface in frame
G388_030,YES,wide shot; division line and sideline paint legible
