adjudication_id,card_id,draw_kind,section_id,frame,subject_kind,subject_id,position_source,target_weight,bbox_x1,bbox_y1,bbox_x2,bbox_y2,verdict,certainty,verdict_source,note,overlay_opened_utc,adjudicated_utc
1080p30_00#1080p30_00_r00,1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,PRODUCER_ROW,1080p30_00_r00,DETECTION,1,1275.0,225.0,1377.0,457.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,red 21 is at this location; the box top sits about 75 px above his head and the bottom cuts at the waist,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_00#1080p30_00_r01,1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,PRODUCER_ROW,1080p30_00_r01,DETECTION,1,647.0,211.0,737.0,421.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,white jersey player is here; box shifted up about 80 px,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_00#1080p30_00_r02,1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,PRODUCER_ROW,1080p30_00_r02,PREDICTION,0,820.0,365.0,988.0,607.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,white defender is inside the right half of the box; the left third is bare floor,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_00#1080p30_00_r03,1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,PRODUCER_ROW,1080p30_00_r03,DETECTION,1,1527.0,184.0,1641.0,399.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,official is here; box shifted up about 76 px,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_00#1080p30_00_d03,1080p30_00,1080p30,,,COMPARATOR_BOX,1080p30_00_d03,,,462.000,480.750,609.000,695.250,PERSON,CERTAIN,OVERLAY_ADJUDICATION,white 0 on the floor,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_00#1080p30_00_d09,1080p30_00,1080p30,,,COMPARATOR_BOX,1080p30_00_d09,,,744.000,178.500,831.000,377.250,PERSON,CERTAIN,OVERLAY_ADJUDICATION,player standing in front of the bench,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_01#1080p30_01_r00,1080p30_01,1080p30,9sq-YMlIo9Q_s2346,376,PRODUCER_ROW,1080p30_01_r00,PREDICTION,0,757.0,417.0,916.0,732.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,straddles the landing red player and the white player; extent covers parts of both,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_01#1080p30_01_r01,1080p30_01,1080p30,9sq-YMlIo9Q_s2346,376,PRODUCER_ROW,1080p30_01_r01,CLAMP,0,730.0,145.0,868.0,416.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,player at the rim is inside the lower half; the top is empty crowd,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_01#1080p30_01_r02,1080p30_01,1080p30,9sq-YMlIo9Q_s2346,376,PRODUCER_ROW,1080p30_01_r02,DETECTION,1,1084.0,200.0,1224.0,546.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,red 44 is here; box shifted up about 80 px,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_01#1080p30_01_r03,1080p30_01,1080p30,9sq-YMlIo9Q_s2346,376,PRODUCER_ROW,1080p30_01_r03,CLAMP,0,1005.0,176.0,1116.0,422.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,person in red behind the baseline is in the lower half of the box,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_01#1080p30_01_d05,1080p30_01,1080p30,,,COMPARATOR_BOX,1080p30_01_d05,,,633.375,790.500,746.625,949.500,PERSON,CERTAIN,OVERLAY_ADJUDICATION,red 24 in the foreground,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_01#1080p30_01_d07,1080p30_01,1080p30,,,COMPARATOR_BOX,1080p30_01_d07,,,1534.500,294.938,1615.500,473.250,PERSON,CERTAIN,OVERLAY_ADJUDICATION,seated person in the courtside row,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_01#1080p30_01_d08,1080p30_01,1080p30,,,COMPARATOR_BOX,1080p30_01_d08,,,1606.500,218.812,1696.500,487.500,PERSON,CERTAIN,OVERLAY_ADJUDICATION,person standing in a dark suit at the right,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_01#1080p30_01_d09,1080p30_01,1080p30,,,COMPARATOR_BOX,1080p30_01_d09,,,745.125,213.750,832.500,456.750,PERSON,CERTAIN,OVERLAY_ADJUDICATION,player at the rim,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_01#1080p30_01_d10,1080p30_01,1080p30,,,COMPARATOR_BOX,1080p30_01_d10,,,1016.250,262.875,1098.750,468.375,PERSON,CERTAIN,OVERLAY_ADJUDICATION,person in red behind the baseline,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_02#1080p30_02_r00,1080p30_02,1080p30,UCVSlzgun0o_s2298,474,PRODUCER_ROW,1080p30_02_r00,PREDICTION,0,1320.0,-13.0,1935.0,1019.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,close-up player at the right; box runs past the frame border and is shifted up about 60 px,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
