blind_index,verdict
1,NOT A PERSON
2,PLAYER
3,NOT A PERSON
4,NOT A PERSON
5,PERSON NOT PLAYER IN PLAY
6,NOT A PERSON
7,NOT A PERSON
8,NOT A PERSON
9,PLAYER
10,PLAYER
11,PLAYER
12,NOT A PERSON
13,PLAYER
14,NOT A PERSON
15,NOT A PERSON
16,PLAYER
17,PLAYER
18,PERSON NOT PLAYER IN PLAY
19,NOT A PERSON
20,NOT A PERSON
21,NOT A PERSON
22,PLAYER
23,PLAYER
24,NOT A PERSON
25,NOT A PERSON
26,PLAYER
27,NOT A PERSON
28,PERSON NOT PLAYER IN PLAY
29,NOT A PERSON
30,NOT A PERSON
31,NOT A PERSON
32,PLAYER
33,NOT A PERSON
34,NOT A PERSON
35,NOT A PERSON
36,NOT A PERSON
37,PERSON NOT PLAYER IN PLAY
38,NOT A PERSON
39,PERSON NOT PLAYER IN PLAY
40,PERSON NOT PLAYER IN PLAY
41,NOT A PERSON
42,NOT A PERSON
43,NOT A PERSON
44,NOT A PERSON
45,PLAYER
46,PLAYER
47,PLAYER
48,NOT A PERSON
49,NOT A PERSON
50,NOT A PERSON
51,NOT A PERSON
52,PLAYER
53,NOT A PERSON
54,PLAYER
55,PLAYER
56,PLAYER
57,NOT A PERSON
58,NOT A PERSON
59,PLAYER
60,PERSON NOT PLAYER IN PLAY
61,PLAYER
62,NOT A PERSON
63,NOT A PERSON
64,PLAYER
65,PLAYER
66,NOT A PERSON
67,PLAYER
68,PERSON NOT PLAYER IN PLAY
69,PERSON NOT PLAYER IN PLAY
70,PLAYER
71,PERSON NOT PLAYER IN PLAY
72,PLAYER
