sheet_id,final_label,adjudicator,note
sheet_0000,BASKETBALL_PLAY,finisher,live play with an inset graphics panel
sheet_0003,BASKETBALL_PLAY,finisher,live play with an app advert overlay
sheet_0018,BASKETBALL_PLAY,finisher,live play wide court running clock
sheet_0024,UNKNOWN,finisher,fully black frame carries no content evidence
sheet_0040,BASKETBALL_NONPLAY,finisher,idle reaction close-up no live action
sheet_0048,BASKETBALL_NONPLAY,finisher,close-up against crowd no court action
sheet_0049,BASKETBALL_PLAY,finisher,live play wide court shot in flight
sheet_0052,BASKETBALL_PLAY,finisher,live play wide court running clock
sheet_0059,BASKETBALL_PLAY,finisher,wide court game in progress at the baseline
sheet_0060,BASKETBALL_PLAY,finisher,player in motion in play court markings in view
sheet_0095,BASKETBALL_PLAY,finisher,live play wide court ball in hand
sheet_0130,BASKETBALL_PLAY,finisher,ball in possession basket in view game in progress
sheet_0143,BASKETBALL_PLAY,finisher,players contesting a loose ball on court
sheet_0158,BASKETBALL_PLAY,finisher,ball in play basket in view inset graphics panel
sheet_0173,BASKETBALL_PLAY,finisher,live play wide court running clock
sheet_0174,BASKETBALL_NONPLAY,finisher,bench huddle
sheet_0219,BASKETBALL_PLAY,finisher,live play under the basket
sheet_0220,BASKETBALL_NONPLAY,finisher,close-up against courtside seats no action
sheet_0264,BASKETBALL_NONPLAY,finisher,tight close-up against crowd no court in frame
sheet_0266,BASKETBALL_NONPLAY,finisher,sideline close-up with coach no court action
sheet_0267,BASKETBALL_PLAY,finisher,live play wide court with commentator insets
sheet_0279,BASKETBALL_NONPLAY,finisher,dead ball player idle no live action
